Date,Price,1d Price_C,5d Price_C,10d Price_C,T10Y2Y,T10Y2Y_C,S&P500 Close,1d S&P500 Close_C,5d S&P500 Close_C,10d S&P500 Close_C,University of Michigan Consumer,M2,Average Weekly Hours of Production,Building Permits,Manufacturers' New Orders Durable Goods,Real personal income excluding current transfer receipts,"All Employees, Total Nonfarm",Industrial Production Index,Inventories to Sales Ratios,Label
2001/10/26,8.83,0.002270148,0.016110472,-0.003386005,1.9,-0.03,1104.609985,0.004108772,0.028999148,0.011871901,82.7,4598.98,41.1,1566,170484,9779.6,131454,91.6795,1.4,Low Point
2001/10/29,8.91,0.009060023,0.027681661,0.010204082,1.95,0.05,1078.300049,-0.023818304,-0.010643155,-0.01071573,82.7,4598.98,41.1,1566,170484,9779.6,131454,91.6795,1.4,Little Low Point
2001/10/30,8.74,-0.019079686,-0.004555809,-0.002283105,1.96,0.01,1059.790039,-0.017165918,-0.023036919,-0.034395101,82.7,4598.98,41.1,1566,170484,9779.6,131454,91.6795,1.4,Low Point
2001/10/31,8.58,-0.018306636,-0.026106697,-0.025,1.86,-0.1,1059.780029,-9.45E-06,-0.023424183,-0.016071022,82.7,4598.98,41.1,1566,164123,9779.3,131454,91.3289,1.4,Extremely Low Point
2001/11/1,8.61,0.003496503,-0.022701476,-0.018244014,1.75,-0.11,1084.099976,0.022948108,-0.014535166,0.014495458,83.9,4598.98,41.1,1651,164123,9779.3,131142,91.3289,1.39,Extremely Low Point
2001/11/2,8.72,0.012775842,-0.012457531,0.003452244,1.89,0.14,1087.199951,0.002859492,-0.01576125,0.012780835,83.9,4598.98,41.1,1651,164123,9779.3,131142,91.3289,1.39,Extremely Low Point
2001/11/5,8.77,0.005733945,-0.015712682,0.011534025,1.85,-0.04,1102.839966,0.014385592,0.022757967,0.011872595,83.9,4598.98,41.1,1651,164123,9779.3,131142,91.3289,1.39,Extremely Low Point
2001/11/6,8.9,0.014823261,0.018306636,0.013667426,1.93,0.08,1118.859985,0.01452615,0.055737404,0.031416467,83.9,4598.98,41.1,1651,164123,9779.3,131142,91.3289,1.39,Low Point
2001/11/7,8.98,0.008988764,0.046620047,0.019296254,1.9,-0.03,1115.800049,-0.002734869,0.052860045,0.028197659,83.9,4598.98,41.1,1651,164123,9779.3,131142,91.3289,1.39,Little Low Point
2001/11/8,8.98,0,0.042973287,0.019296254,1.9,0,1118.540039,0.002455628,0.031768346,0.016771422,83.9,4598.98,41.1,1651,164123,9779.3,131142,91.3289,1.39,Little Low Point
2001/11/9,9.08,0.011135857,0.041284404,0.028312571,1.89,-0.01,1120.310059,0.001582438,0.030454479,0.014213228,83.9,4598.98,41.1,1651,164123,9779.3,131142,91.3289,1.39,Little High Point
2001/11/12,9.05,-0.003303965,0.031927024,0.015712682,1.89,0,1118.329956,-0.00176746,0.014045546,0.037123162,83.9,4598.98,41.1,1651,164123,9779.3,131142,91.3289,1.39,Little Low Point
2001/11/13,8.98,-0.007734807,0.008988764,0.027459954,1.87,-0.02,1139.089966,0.018563403,0.018080887,0.074826073,83.9,4598.98,41.1,1651,164123,9779.3,131142,91.3289,1.39,Low Point
2001/11/14,9.16,0.020044543,0.020044543,0.067599068,1.84,-0.03,1141.209961,0.00186113,0.022772819,0.076836636,83.9,4598.98,41.1,1651,164123,9779.3,131142,91.3289,1.39,Little High Point
2001/11/15,9.11,-0.005458515,0.014476615,0.058072009,1.81,-0.03,1142.23999,0.000902576,0.02118829,0.053629753,83.9,4598.98,41.1,1651,164123,9779.3,131142,91.3289,1.39,High Point
